1,"ago, ēgi, actum, ěre (3)","делать, действовать, вести","Урок 2, Глаголы", 
2,"audio, īvi, ītum, īre (4)","слушать, слышать","Урок 2, Глаголы",
3,"clamo, āvi, ātum, āre (1)",кричать,"Урок 2, Глаголы",
4,"cogǐto, āvi, ātum, āre (1)",мыслить,"Урок 2, Глаголы",
5,"debeo, debui, debǐtum, ēre (2)","быть должным, обязанным","Урок 2, Глаголы",
6,"dico, dixi, dictum, ěre (3)",говорить,"Урок 2, Глаголы",
7,"discēdō, discessī, discessum, discēdere (3)",уходить,"Урок 2, Глаголы",
8,"disco, didǐci, —, ěre (3)",учиться,"Урок 2, Глаголы",
9,"doceo, docui, doctum, ēre (2)","учить, обучать","Урок 2, Глаголы",
10,"dormio, īvi, ītum, īre (4)",спать,"Урок 2, Глаголы",
11,"festīnō, āvī,  ātum,āre (1)",торопиться,"Урок 2, Глаголы",
12,"flōreō, flōruī, flōritum, flōrēre (2)",цвести,"Урок 2, Глаголы",
13,"errō, errāvī, errātum, errāre (1)","заблуждаться, сбиваться c пути, быть ошибочным","Урок 2, Глаголы",
14,"labōro, āvi, ātum, āre (1)","работать, трудиться, страдать","Урок 2, Глаголы",
15,"laudō, laudāvī, laudātum, laudāre (1)","хвалить, одобрять","Урок 2, Глаголы",
16,"lěgo, lēgi, lectum, ěre (3)",читать,"Урок 2, Глаголы",
17,"mitto, misi, missum, ěre (3)",посылать,"Урок 2, Глаголы",
18,"narro, āvi, ātum, āre (1)",рассказывать,"Урок 2, Глаголы",
19,"plaudō, plausī, plausum, plaudere (3)",апплодировать,"Урок 2, Глаголы",
20,"scio, scivi, scitum, scire (4)","знать, понимать","Урок 2, Глаголы",
21,"scribo, scripsi, scriptum, ěre (3)",писать,"Урок 2, Глаголы",
22,"spērō, spērāvī, spērātum, spērāre (1)",надеяться,"Урок 2, Глаголы",
23,"spīrō, spīrāvī, spīrātum, spīrāre (1)",дышать,"Урок 2, Глаголы",
24,"taceo, tacui, tacǐtum, ēre (2)",молчать,"Урок 2, Глаголы",
25,"vādō, vāsī, —, vādere (3)",идти,"Урок 2, Глаголы",
26,"valeo, valui, —, ēre (2)","иметь силу, быть здоровым","Урок 2, Глаголы",
27,"věnio, vēni, ventum, īre (4)","приходить, прийти","Урок 2, Глаголы",
28,"video, vīdi, visum, ēre (2)",видеть,"Урок 2, Глаголы",
29,"vivo, vixi, victum, ěre (3)",жить,"Урок 2, Глаголы",
30,multum,"много, очень","Урок 2, Наречия",
31,nunquam,никогда,"Урок 2, Наречия",
32,saepē,часто,"Урок 2, Наречия",
33,satis,"достаточно, довольно","Урок 2, Наречия",
34,semper,всегда,"Урок 2, Наречия",
35,nihil,ничто,Урок 2,
36,quis?,кто?,"Урок 2, Вопросы",
37,quid?,что?,"Урок 2, Вопросы",
38,quo?,куда?,"Урок 2, Вопросы",
39,qui,"какой, который (тот)",Урок 2,
40,cur?,почему?,"Урок 2, Вопросы",
41,aut,или (соединяет противо- положные по смыслу понятия),"Урок 2, Союзы",
42,et,и,"Урок 2, Союзы",
43,sed,"но, однако, а","Урок 2, Союзы",
44,etiam,даже,Урок 2,
45,si,если,"Урок 2, Союзы",
46,dum,пока,"Урок 2, Союзы",
47,cum,когда,"Урок 2, Союзы",
48,benē ,хорошо,Урок 2,
49,malē,плохо,Урок 2,
50,salve!,здравствуй!,Урок 2,
51,vale,до свидания (будь здоров!),Урок 2,
52,non solum... sed etiam...,"не только., но и",Урок 2,
53,lentus/lenta/lentum,"медленно, спокойно, лениво","Урок 2, Прилагательные",
54,malus/mala/malum,плохой,"Урок 2, Прилагательные",
55,bonus/bona/bonum,хороший,"Урок 3, Прилагательные",
